Barack Obama (I)D 2012,Change in D%,Change in R%,Change in total votes 2016 to 2012,Clinton %,County,Donald J. Trump (Rep),Gary Johnson (L) 2012,Gary Johnson (Lib),Hillary Clinton (Dem),Johnson % 1,Johnson %,Mitt Romney 2012,Number of Records,Obama %,Romney %,State,Total 2012,Total 2016,Trump %,Trump - Clinton tableau,Vote % change 2016 to 2012
1135,-0.058345945,0.054580463,-271,23.80%,Montgomery,2668,34,45,847,0.90%,1.30%,2662,1,29.60%,69.50%,Georgia,3831,3560,74.90%,0.511516854,-0.070738711
2753,-0.023256956,0.00990003,408,28.20%,Morgan,6559,88,218,2658,1.00%,2.30%,6186,1,30.50%,68.50%,Georgia,9027,9435,69.50%,0.413460519,0.04519774
2542,-0.081877451,0.079428831,1209,14.50%,Murray,10340,228,283,1799,2.00%,2.30%,8443,1,22.70%,75.30%,Georgia,11213,12422,83.20%,0.68757044,0.107821279
42573,-0.023644426,0.003907722,-2247,58.00%,Muscogee,26901,484,1817,39602,0.70%,2.70%,27510,1,60.30%,39.00%,Georgia,70567,68320,39.40%,-0.185904567,-0.031842079
21851,-0.004535338,-0.007931822,561,50.10%,Newton,20907,393,944,21936,0.90%,2.20%,20982,1,50.60%,48.50%,Georgia,43226,43787,47.70%,-0.023500126,0.0129783
4421,0.031594272,-0.061772487,2106,28.00%,Oconee,13417,288,923,5573,1.60%,4.60%,13098,1,24.80%,73.60%,Georgia,17807,19913,67.40%,0.393913524,0.118268097
1914,-0.030713205,0.015964112,390,27.50%,Oglethorpe,4622,95,199,1829,1.50%,3.00%,4251,1,30.60%,67.90%,Georgia,6260,6650,69.50%,0.42,0.062300319
15825,0.002878383,-0.020809001,7226,27.90%,Paulding,44646,704,1951,18004,1.20%,3.00%,40846,1,27.60%,71.20%,Georgia,57375,64601,69.10%,0.412408477,0.125943355
6148,-0.058913908,0.045967389,-814,47.50%,Peach,5405,78,211,5083,0.70%,2.00%,5287,1,53.40%,45.90%,Georgia,11513,10699,50.50%,0.030096271,-0.070702684
1975,-0.01444705,0.001043879,1309,14.10%,Pickens,11651,151,354,1977,1.20%,2.50%,10547,1,15.60%,83.20%,Georgia,12673,13982,83.30%,0.691889572,0.10329046
1124,-0.040433979,0.035722903,451,12.40%,Pierce,6301,55,93,903,0.80%,1.30%,5667,1,16.40%,82.80%,Georgia,6846,7297,86.40%,0.739756064,0.065877885
1356,-0.024418022,0.015988535,567,14.30%,Pike,7273,84,163,1239,1.00%,1.90%,6668,1,16.70%,82.20%,Georgia,8108,8675,83.80%,0.69556196,0.069930932
3615,-0.063571453,0.056025666,557,20.20%,Polk,11006,175,289,2863,1.30%,2.00%,9811,1,26.60%,72.10%,Georgia,13601,14158,77.70%,0.575151858,0.040952871
1219,-0.024322879,0.013092788,-83,30.70%,Pulaski,2436,18,58,1104,0.50%,1.60%,2444,1,33.10%,66.40%,Georgia,3681,3598,67.70%,0.37020567,-0.022548221
2926,-0.02632661,0.016761737,212,29.10%,Putnam,6516,78,170,2745,0.80%,1.80%,6215,1,31.70%,67.40%,Georgia,9219,9431,69.10%,0.399851553,0.022995987
612,-0.10098231,0.098638624,-84,44.20%,Quitman,575,6,8,461,0.50%,0.80%,510,1,54.30%,45.20%,Georgia,1128,1044,55.10%,0.109195402,-0.074468085
1559,-0.027982582,0.017633936,508,18.20%,Rabun,6287,128,219,1443,1.70%,2.80%,5754,1,21.00%,77.30%,Georgia,7441,7949,79.10%,0.609384828,0.068270394
1770,-0.02716892,0.023056261,-163,55.20%,Randolph,1270,17,28,1597,0.60%,1.00%,1271,1,57.90%,41.60%,Georgia,3058,2895,43.90%,-0.112953368,-0.053302812
52560,-0.045359176,0.021302319,-44030,62.00%,Richmond,12183,583,1099,21676,0.70%,3.10%,25845,1,66.50%,32.70%,Georgia,78988,34958,34.90%,-0.271554437,-0.557426445
22023,0.038859269,-0.054666044,-480,61.70%,Rockdale,13463,330,920,23206,0.90%,2.40%,15716,1,57.90%,41.30%,Georgia,38069,37589,35.80%,-0.25919817,-0.012608684
448,-0.046235284,0.035386397,161,21.00%,Schley,1472,14,36,401,0.80%,1.90%,1286,1,25.60%,73.60%,Georgia,1748,1909,77.10%,0.561026716,0.092105263
2774,-0.051174523,0.041073844,-401,40.40%,Screven,3305,39,94,2300,0.60%,1.60%,3287,1,45.50%,53.90%,Georgia,6100,5699,58.00%,0.176346727,-0.065737705
1478,-0.060583696,0.059369458,-192,33.20%,Seminole,2343,46,48,1186,1.20%,1.30%,2245,1,39.20%,59.60%,Georgia,3769,3577,65.50%,0.32345541,-0.050941894
9898,-0.029238704,0.016745021,499,36.50%,Spalding,15636,272,597,9347,1.10%,2.30%,14911,1,39.50%,59.50%,Georgia,25081,25580,61.10%,0.245856138,0.019895538
2131,-0.03656353,0.026103759,271,18.80%,Stephens,7682,137,243,1835,1.40%,2.50%,7221,1,22.50%,76.10%,Georgia,9489,9760,78.70%,0.599077869,0.028559385
1323,-0.043030923,0.03324591,-23,59.40%,Stewart,805,8,28,1220,0.40%,1.40%,745,1,63.70%,35.90%,Georgia,2076,2053,39.20%,-0.202143205,-0.011078998
6375,-0.035785696,0.02615691,-858,50.30%,Sumter,5275,78,178,5520,0.70%,1.60%,5378,1,53.90%,45.50%,Georgia,11831,10973,48.10%,-0.022327531,-0.072521342
2265,-0.031789952,0.024480376,-248,61.70%,Talbot,1196,24,46,2001,0.70%,1.40%,1202,1,64.90%,34.40%,Georgia,3491,3243,36.90%,-0.24822695,-0.071039817
636,-0.052855312,0.053664517,-66,60.80%,Taliaferro,349,4,3,545,0.40%,0.30%,323,1,66.00%,33.50%,Georgia,963,897,38.90%,-0.218506132,-0.068535826
1897,-0.040690351,0.034147351,214,24.40%,Tattnall,5092,62,109,1678,0.90%,1.60%,4706,1,28.50%,70.60%,Georgia,6665,6879,74.00%,0.496293066,0.032108027
1572,-0.063660388,0.055520495,-136,38.10%,Taylor,2062,18,45,1295,0.50%,1.30%,1948,1,44.40%,55.10%,Georgia,3538,3402,60.60%,0.225455614,-0.038439796
1805,-0.070209541,0.073537164,-542,34.60%,Telfair,2449,51,32,1313,1.20%,0.80%,2480,1,41.60%,57.20%,Georgia,4336,3794,64.50%,0.299420137,-0.125
2544,-0.035970471,0.030946325,-219,54.20%,Terrell,1872,20,40,2267,0.50%,1.00%,1834,1,57.80%,41.70%,Georgia,4398,4179,44.80%,-0.09452022,-0.049795362
7653,-0.02279503,0.010536663,-218,38.10%,Thomas,11225,139,367,7138,0.70%,2.00%,11156,1,40.40%,58.90%,Georgia,18948,18730,59.90%,0.218206086,-0.011505172
4660,-0.028749471,0.017370313,204,30.60%,Tift,9565,82,244,4322,0.60%,1.70%,9185,1,33.50%,66.00%,Georgia,13927,14131,67.70%,0.371028236,0.014647806
2746,-0.037181016,0.027753149,-236,25.70%,Toombs,6612,74,158,2338,0.80%,1.70%,6524,1,29.40%,69.80%,Georgia,9344,9108,72.60%,0.469257795,-0.025256849
1273,-0.025654751,0.014376262,515,17.90%,Towns,5377,62,143,1206,1.00%,2.10%,4876,1,20.50%,78.50%,Georgia,6211,6726,79.90%,0.620130836,0.082917405
